Province,Electricity,LPG,Kerosene,Charcoal/Briquetts,Wood,Other
Aceh,0.11,64.61,3.97,0,28.82,2.49
Sumatera Utara,0.59,67.92,6.32,0.01,23.8,1.37
Sumatera Barat,0.31,23.47,25.54,0,49.22,1.46
Riau,0.58,69.54,9.7,3.62,14.56,2
Jambi,0.41,54.67,8.52,2.89,32.66,0.85
Sumatera Selatan,0.57,75.07,1.59,0.87,21.6,0.3
Bengkulu,0.37,62.59,1.77,0,34.09,1.19
Lampung,0.27,53.39,0.43,0.03,45.25,0.62
Kepulauan  Bangka Belitung,0.54,56.64,27.53,0.03,14.76,0.49
Kepulauan  Riau,0.84,67.54,20.13,0.48,5.45,5.57
DKI Jakarta,0.95,86.76,2.59,0,0.15,9.55
Jawa Barat,1.06,76.34,0.46,0.02,19.59,2.53
Jawa Tengah,0.5,63.45,0.25,0.07,33.47,2.25
DI Yogyakarta,0.4,54.19,0.57,0.37,33.93,10.54
Jawa Timur,0.5,62.77,0.81,0.03,33.56,2.33
Banten,0.79,76.75,0.54,0,19.79,2.12
Bali,0.36,62.62,0.98,0.02,28.85,7.18
Nusa Tenggara Barat,0.4,36.68,15.9,0,45.43,1.59
Nusa Tenggara Timur,0.77,0.58,18.66,0,79.6,0.39
Kalimantan Barat,0.63,68.3,1.19,0.07,29.42,0.4
Kalimantan Tengah,0.36,16.65,39.41,0.05,42.72,0.82
Kalimantan Selatan,0.16,39.94,24.34,0.03,34.11,1.42
Kalimantan Timur,0.58,79.94,8.8,0.1,9.04,1.55
Sulawesi Utara,1.69,40.92,14.66,0.1,40.52,2.1
Sulawesi Tengah,0.17,7.2,23.8,5.1,62.83,0.91
Sulawesi Selatan,0.58,71.26,0.57,0.82,26.29,0.49
Sulawesi Tenggara,0.22,16.28,25.18,2.36,55.18,0.79
Gorontalo,0.24,44.73,9.63,0.03,43.96,1.41
Sulawesi Barat,0.33,42.72,1.27,1.41,53.92,0.36
Maluku,0.1,0.48,48.23,0,50.61,0.58
Maluku Utara,0.17,0.33,35.19,0.03,63.05,1.23
Papua Barat,0.15,2.59,51.24,0.08,43.66,2.28
Papua,0.31,0.48,28.07,0.06,70.13,0.95
